Ward,Accuracy,Average_Count
1.0,0.3804347826086957,1.2065217391304348
2.0,0.0,1.2282608695652173
3.0,0.31521739130434784,3.3152173913043477
4.0,0.4782608695652174,3.119565217391304
5.0,0.32608695652173914,2.467391304347826
6.0,0.45652173913043476,4.271739130434782
7.0,0.31521739130434784,4.163043478260869
8.0,0.29347826086956524,3.510869565217391
9.0,0.21739130434782608,3.3152173913043477
10.0,0.34782608695652173,2.282608695652174
11.0,0.33695652173913043,1.0543478260869565
12.0,0.30434782608695654,1.7391304347826086
13.0,0.358695652173913,0.9782608695652174
14.0,0.33695652173913043,1.1956521739130435
15.0,0.06521739130434782,2.0543478260869565
16.0,0.2826086956521739,3.2065217391304346
17.0,0.2391304347826087,3.6630434782608696
18.0,0.14130434782608695,1.2608695652173914
19.0,0.41304347826086957,1.0
20.0,0.33695652173913043,3.858695652173913
21.0,0.31521739130434784,3.5434782608695654
22.0,0.2826086956521739,1.5543478260869565
23.0,0.33695652173913043,1.0869565217391304
24.0,0.358695652173913,4.032608695652174
25.0,0.2717391304347826,1.9673913043478262
26.0,0.20652173913043478,1.434782608695652
27.0,0.41304347826086957,4.130434782608695
28.0,0.5,5.076086956521739
29.0,0.40217391304347827,2.9782608695652173
30.0,0.2717391304347826,1.4673913043478262
31.0,0.3804347826086957,1.1630434782608696
32.0,0.4891304347826087,0.75
33.0,0.42391304347826086,0.9891304347826086
34.0,0.14130434782608695,2.619565217391304
35.0,0.33695652173913043,1.1304347826086956
36.0,0.30434782608695654,1.076086956521739
37.0,0.10869565217391304,2.641304347826087
38.0,0.31521739130434784,1.0108695652173914
39.0,0.45652173913043476,0.8804347826086957
40.0,0.3804347826086957,1.076086956521739
41.0,0.31521739130434784,1.391304347826087
42.0,0.358695652173913,3.9347826086956523
43.0,0.5434782608695652,0.5217391304347826
44.0,0.2717391304347826,1.2065217391304348
45.0,0.3804347826086957,1.0869565217391304
46.0,0.34782608695652173,1.5
47.0,0.5434782608695652,0.6304347826086957
48.0,0.44565217391304346,1.326086956521739
49.0,0.22826086956521738,2.0543478260869565
50.0,0.32608695652173914,1.184782608695652
